code,code2,name,color,farz,kind,un1,un2,qu2,vis,pr_run1,pr_r2un1,pr_r3un1,pr_run2,pr_r2un2,pr_r3un2,p,p2,p3,company,rem,firstunit,taxprcent,da_expopt,salebycode,qu_max,qu_min,pict,alarm,txtalarm,company2,company3,stor,vaw,prcentw,efectw,vas,prcents,efects,codecomp,nomodel,media,marg,qu_s2,chk,pr_r4un1,pr_r4un2,pr_r5un1,pr_r5un2,pr_r6un1,pr_r6un2,pr_r7un1,pr_r7un2,pr_r8un1,pr_r8un2,pr_r9un1,pr_r9un2,pr_r10un1,pr_r10un2,pr_s,pr_s2,ser,codeun2,storadd,shortcode,d2w,d2s,aimname,evaluepolicy,pr_sa,prminut,engname,place,pr_r2,pr_r3,pr_rforqu_s,Prnparcode,exported
"100031",,"ثلاجة استيل بيد سيلكون","لا","لا","عام","قطعة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"ماهر عرام",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100032",,"توابل 12 ق الكباس لوكس","لا","لا","عام","قطعة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"ماهر عرام",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100033",,"غلاية الاسباني الوان","لا","لا","عام","كرتونة","قطعه",8.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"ماهر عرام",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100034",,"صنية نحاسي","لا","لا","عام","قطعة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"م الخولي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100035",,"توزيع سيلكون الاندلس","لا","لا","عام","كرتونة","قطعه",6.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"م الخولي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100036",,"كارت سكينة جرانيت","لا","لا","عام","كرتونة","قطعه",10.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"العربي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100037",,"عجانة استيل الوان ك","لا","لا","عام","قطعة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"العربي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100038",,"عجانة استيل الوان ص","لا","لا","عام","قطعة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"العربي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100039",,"عجانة + مصفى","لا","لا","عام","علبه",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"العربي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100040",,"مضرب بيض","لا","لا","عام","دستة","قطعه",12.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"العربي",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
